,created_at,id,text
66,Tue May 12 16:14:29 +0000 2020,1260241948239069184,"Utilizing this innovative protein messenger, @moderna_tx’s 800-member team is working around-the-clock – even from… https://t.co/6fSFXmTg2l"
67,Tue May 12 17:07:00 +0000 2020,1260255164440641536,".@moderna_tx gets FDA fast-track designation for #Covid19 vaccine, writes @biotechvisigoth  https://t.co/ruyzOojCyw $MRNA"
68,Tue May 12 20:00:00 +0000 2020,1260298703635709952,"#FDA Fast Tracks @moderna_tx mRNA-1273 #vaccine candidate vs SARS-CoV-2, currently in @NIAIDNews-led Ph1… https://t.co/3znreXGuLC"
69,Tue May 12 23:22:00 +0000 2020,1260349536133931016,"RT @IAmBiotech: Utilizing this innovative protein messenger, @moderna_tx’s 800-member team is working around-the-clock – even from home – t…"
70,Wed May 13 00:11:00 +0000 2020,1260361867375108097,".@moderna_tx the first company to enter clinical trial with a potential vaccine, will now start Phase 2 of testing… https://t.co/dvfK9U50DM"
71,Wed May 13 03:29:53 +0000 2020,1260411919640391680,"After positive results in Seattle, @moderna_tx gets ready for the next phases of clinical trials for #COVID19 vacci… https://t.co/hChzqpgwy9"
72,Wed May 13 04:22:58 +0000 2020,1260425279543087105,"RT @b0yle: After positive results in Seattle, @moderna_tx gets ready for the next phases of clinical trials for #COVID19 vaccine - and thin…"
73,Wed May 13 13:32:18 +0000 2020,1260563521487724547,@Vipplav2 @sarahcpr @elonmusk Just did and was at a very big one only a few years ago when it was less than 200 emp… https://t.co/1ZJa3bBtxQ
74,Wed May 13 14:01:49 +0000 2020,1260570949537202177,"Tomorrow, Dr. Tal Zaks of @moderna_tx will be presenting “Moderna's Vaccine and Trial Efforts Against COVID-19.” Re… https://t.co/e8jpz1tnVv"
75,Wed May 13 16:54:45 +0000 2020,1260614469648089091,"RT @Cass_Lee_BOS: .@moderna_tx the first company to enter clinical trial with a potential vaccine, will now start Phase 2 of testing on its…"
76,Wed May 13 17:51:08 +0000 2020,1260628660782014464,RT @jrkelly: Thrilled that @ginkgo is working with @moderna_tx to help optimize the manufacture of their COVID-19 vaccine candidate!! https…
77,Wed May 13 18:21:00 +0000 2020,1260636177369006081,.@moderna_tx nabs #FDA fast-track tag for its #COVID19 #vaccine https://t.co/Vdp05M9G53
78,Thu May 14 01:08:38 +0000 2020,1260738759374581762,"Science Updates 🦠:  
- 🧐 Just because test positive doesn’t mean have antibodies- https://t.co/oQW8XtyFD8 
- 🧪Vyria… https://t.co/LDC16mKcdo"
79,Thu May 14 01:28:21 +0000 2020,1260743722280550403,"RT @VBKerry: Science Updates 🦠:  
- 🧐 Just because test positive doesn’t mean have antibodies- https://t.co/oQW8XtyFD8 
- 🧪Vyriad developin…"
80,Thu May 14 01:44:40 +0000 2020,1260747827807805440,"RT @TriLinkBioTech: Tomorrow, Dr. Tal Zaks of @moderna_tx will be presenting “Moderna's Vaccine and Trial Efforts Against COVID-19.” Regist…"
81,Thu May 14 19:22:59 +0000 2020,1261014161917689857,Great article on the development of the @moderna_tx COVID-19 vaccine and the role my lab played in collaboration wi… https://t.co/GjxXEn3THY
82,Thu May 14 21:50:29 +0000 2020,1261051280220393473,@jacques_nate Or did they release the Non-human primate results of their Covid vaccine and I missed it?… https://t.co/O230n6sufk
83,Fri May 15 07:20:50 +0000 2020,1261194816320389120,Two companies racing for a vaccine tell us how close they are getting. @gavi @moderna_tx @JNJNews @wef #covid… https://t.co/g9WSKrDgVW
84,Fri May 15 13:30:41 +0000 2020,1261287890690203653,Have you seen our Biotechnology: Beyond Imagination series? The first is a spotlight on @moderna_tx. Working with t… https://t.co/xkjqKWQScK
85,Fri May 15 16:18:50 +0000 2020,1261330207610417154,RT @RobinPomeroyEd: Two companies racing for a vaccine tell us how close they are getting. @gavi @moderna_tx @JNJNews @wef #covid #WorldVsV…
86,Fri May 15 19:02:51 +0000 2020,1261371484968124418,ICYMI: former @GSK exec Moncef Slaoui has stepped down from @moderna_tx's board of directors to oversee the White H… https://t.co/NDhbAmTDAJ
87,Sat May 16 05:24:18 +0000 2020,1261527877893455872,Trump’s Vaccine Czar Holds Millions in Stock Options at Company That Got Federal Funding for #COVID19 Work. Dr. Mon… https://t.co/QmH1QuWMJy
88,Sat May 16 14:15:03 +0000 2020,1261661445630111745,".@moderna_tx the company furthest along in developing a #covid19 vaccine, will get an expedited review from @US_FDA… https://t.co/oKuNVQYTwY"
